Name,Guild,Race,Total Level,Items
PCPinjector,,Elf Female,0,
Isalore,Rememberance,Human Female,22704,
Takanibu,Arms,Human Male,65243,
Xjaysong,Visions,Human Male,61716,
Esseldi,Endowed,Elf Male,42735,
Audill,,Human Female,27004,
Noita,,Human Male,44103,
Artpe,Asesinos,Human Female,86442,
Falmmo,,Human Female,673,
CIoudies,Cloudy,Giant Female,68509,19407;3100003;1250026
jessithecrow,,Human Female,2,
Tsukiyu,Litneria,Human Female,34905,
Aloof,,Human Male,35153,
woot3,,Human Female,0,
Malisu,Andromeda,Elf Female,22022,
Naorika+Mari,,Elf Female,23388,
Akioh,Grumbills,Human Male,60366,
Kumono+Ruairi,,Human Female,26753,
fread,Fomorian,Human Male,53359,
Franciel,Boundaries,Human Male,65267,
Avsg+Alexina,Drowsy,Human Female,26395,
Nakamotosatoshi,Severe,Human Male,31910,
Vallim,Huggables,Human Male,31153,
Sabrynne,Deadlnside,Giant Female,58873,
Flamberg,Felons,Human Male,83750,
Mavricdarkwd,SHADOWGARDEN,Elf Male,57673,
Clubberr,Endowed,Human Male,31884,
Flintfrost,,Human Male,5818,
Selzyr,Virtus,Human Male,41937,
Ahriscada,Fortuna,Human Female,125029,
Shirkzen,Lofi,Human Male,27953,
sehz,Rainconquest,Human Male,23081,
sksxdd6,,Human Female,1,
Pikarazor,,Human Male,25157,
Hatssu,Leafi,Elf Female,67940,
Miraasherah,Greentea,Human Female,64097,
Cysnd,Xzenmagic,Human Female,26845,
Manasama+Alexina,,Human Female,0,
Celibee,Severe,Elf Female,49632,
jamyuu,Valencia,Elf Female,32300,
silverfox757,Grumbills,Elf Female,34842,
Phaons2,Fallensaints,Human Male,41750,
Luscienna,Scathen,Human Female,51045,
Hinorei,Dumpling,Human Female,83895,
PE1,Fomorian,Human Female,40764,
Mito,,Human Female,77406,
Rwjuvia,,Human Female,23257,
juniberri,Eggie,Elf Female,27614,
Syndarael,Cavalry,Giant Female,54399,
Fyralin+Alexina,Nightcord,Human Female,36815,
Hackers,Goodmorning,Human Male,44269,
Bilith,Vanquisher,Giant Male,99908,
Drugun,Cozycrew,Giant Female,45059,
Konisama,Ponder,Human Female,54283,
Morphopeleides,Peace,Human Male,42106,
Acekokono,,Elf Male,28175,
Aoiffeann,Visions,Human Female,50431,
Ablume,,Elf Female,0,
KAISER24,Boundaries,Human Male,35193,
Kyutiechibi,Toasty,Elf Male,57101,
Nyaa+Alexina,,Elf Female,22556,
Jugi155,Lightning,Human Male,106236,
Gwindalina,Ashen,Human Female,60490,
Avacyne,Peace,Giant Female,49099,
Mirajune,,Human Female,0,
Bunnymad,,Human Male,65848,
Zecilia,,Human Female,35086,
Shadid,Alliances,Giant Female,36071,
Wolfie,Havens,Human Female,67591,
Erich,Chess,Human Male,24157,
Feuem,,Giant Male,0,
Eleusina,Nightcourt,Elf Female,22271,
Mrzrx,,Giant Male,71662,
IIDahliall,Plump,Elf Male,22438,
Georgebcx,Shenanigans,Human Male,46975,
Mabibme3,,Giant Female,20476,
Wingly,Goodmorning,Elf Female,59425,
Ystoire,,Human Female,7202,
Kyohae,Totoro,Giant Male,20697,
Scarxx,Isekai,Human Male,55826,
Khidash,,Human Male,0,
Alessai,Peace,Human Female,40366,
Nuggiess,Honeybun,Giant Female,60094,
Aerina,Seekers,Human Female,89616,
sascha,,Human Male,40142,
Malacrim,Oathofash,Elf Female,55351,
Schnipe,,Elf Female,56093,
Lulwy,Hybridtheory,Elf Male,56265,
Erikaitsumi,Vulneq,Elf Female,21433,
SNSDSunny,Song,Human Female,20849,
Dameia,Havens,Elf Female,49744,
kukubobsot,Visions,Human Male,75052,
Mao,Chai,Human Female,105453,
Faris,Restless,Human Female,147428,
Melen,Rikka,Human Female,46820,
Seramisa,Adventsouls,Human Female,21405,
Allergyria,Severe,Elf Female,26619,
Hollowleaf,,Human Male,5215,
Lidiya,Mahoushoujo,Human Female,44102,
Artoriapendragon,Juice,Human Female,158583,19407
Aranathruil,,Elf Female,2361,
Aaraak,Selkies,Elf Male,44578,
Nexd,Tenjiku,Human Male,72907,19406
Alleyena,Ravenclaws,Elf Female,51893,
Kadily,Harana,Human Female,64707,
Sihiro,Infamy,Human Male,81056,
blay+Mari,Boundaries,Human Male,118273,
Jackieack,Dynamics,Human Male,29046,
Asharyn,Dragonfly,Human Male,30369,
EIIiot,Motion,Elf Male,40339,
Myrequity,,Human Female,58196,
Manapond,,Elf Female,0,
Asharie,Huggables,Human Female,43764,
Shibapoop,,Elf Female,0,
Mrsirdavid,,Human Male,65608,
isakura,,Human Female,0,
Bam,Sleep,Elf Male,132119,3100003
Phareeha+Alexina,Coexist,Human Female,40366,
Humanurself,Nightcord,Human Female,41012,
Tiv,Yuzusoft,Human Female,63201,
Tsujirin,Magical,Human Female,74116,
XKuts,Laziness,Human Male,23944,
Xxsven,Loot,Elf Male,75012,
IFISTAY,,Human Male,0,
Queengiant,,Giant Female,0,
Snoopraven,Artificers,Human Male,60902,
Salza93,Sinister,Human Male,49178,
Donazo,RELOGHORIZON,Human Male,24777,
Tomokoruki,Visions,Human Female,53664,
Ambitions,Cowcafe,Human Male,61218,
Vancopeme,,Human Male,57317,
Sennyu,,Human Male,0,
Vissen,Inquisitors,Human Male,59165,
Eviln,Goodmorning,Elf Female,136274,
Lumioni,Diamonds,Human Female,77514,
Lordmiquella,Funhouse,Human Male,48613,
Isaias+Ruairi,,Human Male,25083,
erge554,,Human Female,0,
JUSTICEX,Kanata,Human Female,20947,
Alouetteh,Amsiedad,Human Female,48843,
Dias0922,Juggalos,Giant Male,23566,
Thalanis,,Elf Female,13,
Titanoking,Mabinbois,Giant Male,16316,
Ragana,Lightning,Elf Female,2412,
Elfsu,,Elf Female,20476,
Henyi,,Elf Female,20021,
Sapphirah,Divination,Human Female,61621,
Scornas,Crowbitonest,Human Female,67665,
Luux,Chopsticks,Human Male,134851,
Rushed,Cloudy,Elf Male,54662,19406
Hallen,,Elf Male,48224,
Tuahe,Mazoku,Human Female,84889,
Clairen,Nightcord,Giant Female,66311,
Shangale,,Human Male,2080,
Doritolady,Onlynyans,Elf Female,27287,
Jilliansky,,Human Female,52587,
Calikan,Fletaanid,Elf Male,74373,
q52,,Human Male,39132,
Zorro90,,Human Male,48589,
Gumamela,Notch,Human Female,40491,
Jeremycoatny,Rainyday,Elf Male,45677,
Nyyobi,,Elf Female,2892,
Stegs,Looters,Human Male,61977,
Omusa,Primordial,Elf Male,47997,
casterj+Alexina,,Human Female,1636,
Meliodusg,,Giant Female,3009,
Larksir,yawn,Human Female,50809,
JCcute,Cuteowob,Human Female,46335,
Darkness572,Fayenia,Human Male,57319,
kiloi1234,Unsure,Human Male,64434,
SADBADSAM,,Human Female,22143,
Fuir,,Human Male,0,
Dzeref,,Human Male,23046,
Kannjii,Cakes,Human Male,50107,
Mahmee,Ducklings,Elf Female,80994,
Vahnessah,Holyguardian,Elf Female,27448,
LittleRipper,Cozycrew,Human Male,29128,
blueheroqw,,Human Male,51654,
Songbird,Unreliable,Elf Female,57826,19407
Jaugi+Mari,Rainconquest,Human Male,29701,
debriefing,,Elf Male,0,
Briallan,Waffle,Human Female,7219,
Nathan1102,Transcend,Human Male,75459,
motherkarma,SAILORSENSHI,Elf Female,50933,
Molonov,Transcend,Human Male,65669,
Alexfer9,Eloquent,Human Male,55309,
Soultama,Eloquent,Human Male,92998,19406;1250026
Eos,Sword,Human Male,93439,
Kurire,,Human Female,396,
Alimu,Cloudy,Elf Female,56278,
Mariysh,,Elf Female,0,
Jaykay99,Severe,Giant Female,47657,
asdfghqaergh,,Elf Female,15,
Epraito,Gotei,Human Male,96727,
Zeldeon,Vallanor,Giant Female,23645,
Epicmiro,Motion,Human Male,57647,
Cherrylivia,Lemonade,Human Male,24548,
Astraxz,Noxus,Human Male,60194,
Kizami,Selkies,Human Male,55076,
Isaria,Alliances,Human Female,26072,
Tetravenge,Alberio,Human Female,49735,
TTVDarkous,Takingover,Human Male,55796,
Iceanjell,Arms,Human Female,34979,
Xandairx,Oathofash,Giant Male,63281,
emptyvessel,Guild101,Elf Male,28820,
watislove,Eradicate,Human Male,94414,
Mimiir,Vsekai,Human Male,59151,
tessab,Arms,Elf Male,23537,
Nemutsumi,,Human Male,0,
Sakuutaro,,Elf Male,2741,
Birch,Visions,Giant Female,56541,
Nerocoop,Final,Human Male,61820,
Bahineo,Dragonden,Human Male,29047,
Brosiph,Cavaliere,Human Male,21521,
widdlyscuds,Mercury,Human Male,34917,
Tyivee,,Elf Female,22990,
Kesht,thorny,Human Female,86052,
REzero,,Human Male,68425,19406;1050017;3100003
Imnadawaffle,Juice,Human Female,142813,
Yakisobi,Cakes,Human Male,82271,
Minadoi,,Human Male,21443,
Iriho,,Human Female,20623,
Beksoo,,Human Male,49686,
Scavern,Peace,Human Female,113944,
Seb,ICRKI,Human Male,57005,
Potaoi,Lessguild,Elf Female,29829,
Minishwoods,Isekai,Human Female,21311,
Vynlynn,Mercury,Elf Female,3220,
Marcia,Noircats,Human Female,45877,
altaltalt,Juice,Human Female,6301,
Irang+Alexina,,Elf Male,44732,
Tuabaynk,Tuathade,Human Female,40035,
Apikalianes,Heirinn,Giant Female,52951,
brixtwilight,Unresponsive,Human Female,36186,
Xiek+Ruairi,,Elf Male,20221,
Tachi,Chai,Human Female,54635,
Hutianbao,Eradicate,Giant Male,56581,
Drpunks,,Human Male,51474,
Fleemoan,Goodmorning,Giant Female,31399,
Barontwist,,Giant Male,6492,
duokhaydraws,duokhaydraws,Human Female,47266,
ico21,Lost,Human Male,58684,3100003
mohalim,,Human Male,22205,
Jay,Doujin,Human Male,89939,
Zyferous,Solarium,Human Male,95311,
knikki,,Human Female,38722,
Persica+Alexina,Optimates,Human Female,34599,
Flowwera,,Elf Female,0,
Mixellpixell,,Human Female,0,
Roland,Peace,Human Female,84602,
Godsorison,Moosh,Human Female,45825,
istrkeflames,Isekai,Human Male,56614,
LLVM,Pierce,Giant Female,55509,
glennalt,,Human Female,38288,
Darkxstar64,,Human Male,51920,
Meavepagan,Knightsoftir,Human Female,32508,
Indra4443,Inquisitors,Elf Male,40042,
Gizama,,Elf Male,22218,
Nepylz,Fletaanid,Human Female,49441,
Urufu,Wander,Human Female,65319,
Talluulah,,Human Female,992,
Reassurance,Renowned,Human Male,65268,19406
Uknwn45,Moonshine,Human Male,25267,
Giantmastery,Hmongz,Giant Male,48370,
Itzichan,Lightning,Human Female,44924,
Eriryn,Slayer,Elf Female,61268,
Sakauchi,Somnus,Human Male,74104,
Gigagurl,Giganto,Giant Female,56630,
Berrybrulee,Iris,Elf Female,42982,
Mapleserp,,Human Female,43308,
Trendin,,Human Female,16692,
Forsaken22,ILLUMINARY,Human Male,58088,3100003
Balke,Borealis,Human Male,114209,
Huzug,,Giant Male,194,
Wolfsalad,Moosh,Human Male,49614,
reaperzero,Crimsonnoble,Human Female,49413,
Zatopek02,Juice,Human Male,83773,
Nianagi,Chai,Human Female,58958,
Alzii,Haunt,Elf Female,51804,
Hambly,Hershey,Human Female,20630,
Arumei,Adventsouls,Human Female,78996,
Brakerbr,Ancestrales,Human Male,32951,
Oceanstep,Pepper,Giant Male,55121,
Kitsuntsun,Nutella,Elf Male,104612,
Nillionaire,Motion,Elf Female,90267,
Eldr0,Sword,Human Male,46855,
EGGsando,Chimkin,Human Female,55212,
Fuyui,Sakura,Elf Female,50540,
Garoking,Macedonia,Giant Male,90564,
xlucienelx,,Elf Female,85169,
Xangoose,Motion,Elf Male,41034,
vuriance,,Elf Female,0,
Dekimaru,,Human Male,10896,
Edelschwarz,Udon,Human Female,52713,
Saffony,Mitigate,Elf Female,60287,
laechee,,Giant Male,43210,
Yonchip,,Elf Female,20476,
Arraynull,Audicia,Human Male,59591,
Teafoni,Ponder,Human Female,101787,1040054;19407;1420006
Dyailunime,Amele,Human Female,54636,
Azzhar,Visions,Human Female,52701,
Varaskna,Loot,Elf Female,26400,
Evagalia,Delirium,Giant Female,80948,
Buttonrk,Swirl,Elf Male,73793,
Lematoire,Mitigate,Elf Female,58102,
Calmdown,Noctis,Human Male,52194,
Sorahaku,Shadowlegend,Elf Female,35232,
Kiritosenpai,,Human Male,77893,
zeromaster,Cozycrew,Human Male,48866,
sakuyomi,Lost,Elf Female,107044,1080048;19407
Anuvu,Faethful,Human Male,83207,
Peragrynne,,Elf Female,0,
Valkariah,Solarium,Elf Female,45349,
Snappletree,thorny,Human Female,44599,
Bloombriar,Eradicate,Human Male,50427,
zizz+Alexina,Optimates,Giant Female,110778,
Cosmickitty7,,Elf Female,5025,
complex3,Roseknightz,Giant Female,2832,
Anthyarcania,Gizzie,Human Female,66957,
Haruyuna,Oaks,Human Female,71344,19407
Enjinsz,Alliances,Human Male,31810,
AIgander,Fatalis,Giant Male,112962,
charmtaimer,,Human Female,3453,
Ryuutsune,Tentacult,Human Male,60259,
Seyre,Blossom,Elf Female,51160,
Maya,Mood,Human Female,20103,
Heiz,Motion,Elf Male,62072,
kid520,Vanquisher,Human Male,66383,
Vespiel,Boundaries,Giant Female,96488,
Viperfails09,,Human Male,5155,
Bbabysummer,Udon,Human Female,23177,
Dalto,Wise,Human Male,62178,
Hirodo,,Elf Male,0,
Anzoki,Shiny,Human Female,5484,
Nooblife101,Dutch,Human Male,411,
Fwumpii,Bunbuns,Human Female,60647,
Usagixmoon,SAILORSENSHI,Human Female,75771,
Tzukasa,,Human Male,0,
Superloser,,Human Male,0,
JPEGS,,Elf Female,1228,
Xenojin,Charcuterie,Human Male,29760,
Shigatori,Niflhel,Human Male,69778,
Koniie,,Human Female,51,
Lemonparfait,Grumbills,Elf Female,29956,
Snowflakeie,Scum,Human Female,81432,
Freelf1,,Elf Male,1188,
magetsuneku,Eloquent,Giant Male,106655,
Hinotori0,,Human Female,0,
Danmachi,,Elf Male,64892,
Montyfluff,,Human Male,41397,
Masaka,Eradicate,Human Male,65318,
Ayasushi,Goodmorning,Elf Female,86307,
notghost22,,Giant Male,0,
GENKIFore,,Elf Female,22687,
Kasatome,Firebanes,Human Male,2254,
Hoshinoairi,Juice,Human Female,83402,
kouichi+Alexina,Delirium,Elf Male,36327,
Tongrus,Transcend,Giant Female,52607,
Infima,Dragonden,Human Female,62913,
Challenged,Fateless,Human Male,24345,
Angeliz,Kilconriola,Human Female,53745,
Maddusa,Astarius,Elf Female,49738,
Kilo520+Alexina,Motion,Human Male,64107,
Kieran,,Giant Male,0,
Ryuzakii+Alexina,Transcend,Human Male,90123,
Vainglorious,Adventsouls,Giant Female,69802,
Raeon,,Human Female,0,
Eunyo,Kani,Human Female,78788,
Ishotwabbits,Bunnies,Human Female,57547,
goldmansachs,Arms,Human Female,7721,
Kiyochi,Vanquisher,Elf Female,37517,
Sunsonfan,,Giant Male,20774,
Godhart,Hollow,Human Male,48749,
Pulana,Nobilis,Elf Female,174,
Sucralosie,Chai,Giant Female,61136,19407
nrdx,Eloquent,Elf Female,47894,1420006
Gangader,Dngote,Giant Male,25444,
Heyimbrandon,,Human Female,0,
Eldr,,Giant Male,0,
Yuurien,Nakamas,Elf Female,43162,
Jerenda,,Giant Female,2138,
Ariasrose,Grumbills,Human Female,54769,
tozikami,,Human Male,0,
Mistix10,Isekai,Human Male,46827,
Torimatsu,Magical,Human Male,113358,
Cherinoa,Freesia,Human Female,55507,
Tozan+Ruairi,Sword,Human Male,60528,
Teenuh,Sleep,Human Female,56813,
Kazora,Fillia,Elf Male,43272,
Hyulla,Miata,Giant Female,71389,
Yorunna,Shenanigans,Human Female,59883,
Roseavallice,,Human Female,23468,
Valkyrie0+Alexina,Wander,Giant Female,105689,
Dakotaelmo,Wander,Human Male,45627,
Luckymaria,Phase,Human Female,25164,
aznfoxes12,Boomers,Human Male,8000,
Grimedavos,Transcend,Giant Male,44116,
VSentry,Motion,Human Female,89367,
Valkhera,Cakes,Giant Female,82936,
Kikiklio,Gizzie,Elf Female,73642,
nodropsuwu,,Human Female,31051,
Heli+Ruairi,Diamonds,Human Female,20399,
Sansam,Palette,Human Female,77115,
Atachi,Sundew,Human Female,56341,
Bunnehjay,Mercury,Elf Female,26340,
Furnlok,,Human Male,134,
Bunnicula,Slayer,Human Female,59776,
dotelk,Aesir,Human Female,50431,
Wanaster,Loved,Human Male,56515,
Theisee,MOSS,Human Female,27811,
Soobeandog,,Human Male,27193,
EPICEPICERIK,Boundaries,Human Male,39005,
Vixenetti,CRNBA,Giant Female,21615,
Lalisa,,Human Female,62946,
Jansang,Lost,Human Female,71578,
mmucy,thorny,Elf Female,64028,
Broheme,Panhub,Human Female,50273,
clousashi,Luxubu,Giant Male,52925,
Kuronekotaro,Kirin,Elf Male,22016,
Nodus+Ruairi,,Elf Male,287,
Chunnsa,Science,Giant Female,30397,
Socken,Magical,Giant Male,58800,
Sylfei,,Human Female,2,
Laccs,,Human Male,0,
Giegue,Aisling,Human Female,87885,
tyrantrider,Candycorn,Human Female,44173,
Eyx,Goodmorning,Elf Male,57109,
Gimchi,Dirty,Human Female,42177,
Bertilak,Chaosdragons,Human Male,26698,
Derpendous,HER0,Human Male,43825,
Panicandrun,Severe,Elf Female,53521,
Roseygaming,,Elf Female,20257,
deathwalker6,Goodmorning,Human Male,24597,
Crommsolas,Archive,Giant Female,49336,
Nieta+Alexina,,Giant Female,651,
Riliona,Ursa,Human Female,60487,
Sho2+Mari,,Human Female,0,
Spyduck,Kyndred,Human Male,86365,
Grimoiremidnight,,Human Male,21292,
kain796,,Human Male,0,
dfgqae5,,Elf Female,1,
Zilexia,Lothlorien,Elf Female,47837,
Icerox,Oekaki,Human Female,52083,
Gloomyspring,Incarnate,Elf Female,84588,
Megaupgrade,Grandmasterz,Human Male,28334,
Erlach,Scum,Human Male,67069,
Elenaxi,,Elf Female,5855,
Kinky,,Human Female,0,
CRACKWEEDLIF,Mitigate,Human Female,60327,
Kiman,Juice,Human Male,65111,
Raghnae,Freesia,Human Female,47443,
Idrako,,Giant Female,20746,
Grimmjowq4,Phone,Giant Male,14929,
Zekey+Alexina,,Human Male,2494,
Royadon,Valencia,Human Female,87883,1080048;19407
Poesums,Frens,Elf Male,72831,
Gojoo,Cloudy,Giant Male,55338,1400011;3100003;19406
Utichan,Monochroma,Human Female,43950,
yttriawolf,Hissfunction,Giant Female,27131,
Winterwaltz,Aoibhneas,Human Female,67444,19407
Gloria,Alliances,Human Female,34540,
Bidica,Visions,Human Male,80685,
lowercasez,Mercury,Human Female,68290,
Tyranitar,Juice,Giant Female,41855,
Xeiven,Hershey,Human Male,77216,19406
Wanderflame,,Elf Female,0,
Kikunni,,Elf Female,0,
Danitha,Bromance,Human Female,35987,
Blazinfox,Ryuusei,Human Female,41110,
toematoe,,Human Female,0,
Alexpls,Rainconquest,Elf Female,60766,
Tiropat,,Elf Female,0,
Rooky,,Giant Male,56229,
Etaeria,,Human Female,0,
Kahovt,Terrasen,Elf Female,58653,
Schackster,Visions,Human Female,91098,
Shiijjii,Treehouse,Giant Male,65791,
Kelwi,Wander,Human Male,86009,
Remiferia,,Elf Female,53611,
Partholon,GHOST,Giant Male,72516,
Kai16,Arms,Human Male,50802,
itsdanayni,Prudentia,Human Male,50026,
Mahidevranye,,Elf Female,42284,
Thorfrejya,,Human Female,2241,
Sasumy,,Human Female,64458,
Bubbymon,Motion,Human Male,46654,
Neostrava,Carnality,Human Female,83536,
Camioquin,Onlynyans,Human Female,86578,
lucasdarnell,Densetsu,Human Male,114224,
uwusagi,Swirl,Human Female,21313,
Jet,,Human Male,0,
Meiru,Zephyr,Human Female,71861,
TBCMersinary,Springwater,Human Male,56591,
Kityyblue,Juice,Human Female,93173,
Nodibachi,Panhub,Human Male,57042,
Ramenlover20,FORCE,Human Male,102164,
XSSReaper,Vsekai,Giant Male,100600,
Chiquixote,,Human Female,0,
Maloux,,Human Male,0,
Farronitri,Delete,Elf Male,66323,
Floofydragon,,Human Male,39957,
chimihearts,Crowbitonest,Human Male,69201,
Starlli,Blossom,Human Female,47925,
Queenofdeath,Drunknlegion,Human Female,44680,
leaniee,Afterburner,Elf Female,55826,
Fierynaito,,Giant Female,30204,
DRAGONHUMAN,Worldbreaker,Human Male,43088,
ryxkumule7,,Human Male,3180,
Hemachu,Simply,Human Female,84964,
Aihara,Frosty,Human Male,90950,
Deletion+Alexina,,Human Male,27207,
Alythea,Oldpeople,Human Female,33766,
Neosaga,Eloquent,Elf Male,67686,19406
Kristian,Boundaries,Human Male,74564,
Winterisouls,Noctis,Elf Female,54986,
Tsukinokimi,,Human Male,0,
Witroot,,Elf Male,39909,
Rabbiteater,,Giant Male,0,
RYANX,Cozycrew,Human Male,38427,
Hephaestus,,Giant Male,52919,
Mikey,,Elf Female,92351,
Khozu,Sterling,Elf Female,49831,
Kindan,,Human Male,22882,
Enhancements,Sprout,Elf Female,56492,
Okenno,,Human Male,20093,
idleday,Nakamas,Elf Male,54933,
Ergreifer,,Human Female,0,
Baobao,Juice,Human Female,58643,
EIementary+Alexina,,Elf Female,47600,
Sercacttus,Archive,Giant Male,55927,
JJeeperss,,Human Male,23563,
Tider,Chai,Elf Female,59641,
Aurelle,Shenanigans,Giant Female,45054,
Kallyt,Dragonfly,Elf Female,23925,
Tymiat,Whaleforce,Human Male,132947,3100003;19406
scarlettears,Insomniac,Human Female,62809,
Faeatreus,,Giant Female,27570,
Brigidtaron,Volkite,Human Female,65179,
Sweatytoes,Mitigate,Human Male,52803,
Jupiter,Chai,Human Female,52712,
Heckatae,,Elf Female,30885,
Carn,Serial,Human Male,41264,
WICKEDGOTH,Motion,Human Female,52529,
mauricio23,thorny,Human Male,45017,
LordWeyard,Wander,Human Male,89509,
Notohood,Terrasen,Human Male,22738,
Nanomick,Eloquent,Human Male,46583,
Telamere,,Human Male,23800,
Buskimo,,Human Female,0,
Akanebonyu,,Elf Female,44600,
dfhasw345,,Elf Female,1,
Fionrys,Severe,Human Female,89232,
sushibunni,Arkadia,Elf Female,52757,
Recondito,Juice,Human Female,43808,
Eren,Restless,Human Female,99261,
bnni,Niflhel,Elf Female,6260,
CJtheghost,Haunt,Elf Male,63023,
Neroth,Severe,Human Female,60472,
Hitmarks,Lost,Giant Male,65345,41233;19406
Abram,Vsekai,Human Male,58548,
yoyoking,Eradicate,Human Male,105492,
Patty336,Coexist,Human Male,23782,
Mrwade,,Human Male,0,
Mairyn,Tutturu,Human Female,33607,
Meteosama,Frens,Human Male,92048,
Miyabi95,Fillia,Giant Female,50095,
Neidhan,Godhand,Human Male,39916,
Forsits,,Giant Female,303,
Cieloenfuego,Capitalism,Giant Female,20821,
Kosakyun,Arius,Elf Female,67271,
Iilune,,Human Female,89549,
Dcherry,Wander,Giant Male,48053,
Tarlajolla,Thechampions,Human Female,48881,
Frickcast,Dementia,Giant Female,75580,
Pikaruu,Mabigen,Human Male,55312,
Balvog,Motion,Giant Male,43667,
Dalvn,Kitsuneflame,Elf Male,74736,
LOLKNUCKLES+Alexina,Village,Giant Female,20927,
Cork,,Elf Female,27594,
Luckyshotty,Alliances,Elf Female,39841,
Xirowen,Malicious,Giant Male,27484,
Oda0,,Human Male,66006,
Feix3,Fallensaints,Human Male,46882,
Kiesling+Mari,Moriya,Human Male,1024,
Jetiva,,Elf Female,107722,
threechihaya,,Human Female,39760,
Janetansatne,,Human Female,0,
Kumakeen,,Human Male,24925,
Melonjuice,Chivalrous,Elf Female,52911,
snowmouse+Alexina,Ovenfresh,Human Female,5110,
Brunic,,Giant Male,7,
Spinzy,Nakamas,Giant Male,57147,
Hakuzaki,thorny,Elf Male,47380,
Sakuyoi,Pierce,Elf Female,64839,19407
Yuehmoon,Frens,Elf Male,28650,
Tiauw,Friendly,Human Male,40647,
Breakinglove,Niflhel,Giant Female,22328,
Cottencookie,Mewsicians,Human Female,26822,
Fishinogi,,Elf Male,22334,
STARIEANGEL,,Human Female,25699,
Jumbojimm,superdooper,Giant Male,33,
Cagaster,Oathofash,Human Female,59968,
Lllana,Isekai,Human Female,71801,
Odin534,Optimates,Elf Male,71421,
Vythanle,Superior,Human Female,24272,
camipichu,,Elf Female,2087,
Necronova,Diamonds,Human Male,138026,
Mung,Tatsuya,Human Male,31342,
Celtias,,Elf Male,58785,
Nothingnew,Crunchy,Human Female,66234,
Beta2,,Human Male,0,
Oatmilk,Valencia,Elf Female,75522,
Maichanlie,Available,Human Female,62655,
Censors,Moonstars,Human Male,26375,
Frieren420,Haniwa,Elf Female,72763,
Stargazes,,Human Female,9982,
Formontis,Asesinos,Elf Male,51702,
Squireroxas,Transcend,Human Male,91696,
Tromy,,Human Male,0,
Loneo,Optimates,Human Male,59985,19406
